Bulbasaur,Ivysaur,Venusaur,Mega Venusaur
Snorunt,Glalie,Mega Glalie,
,Froslass,,
Spheal,Sealeo,Walrein,
Clamperl,Huntail,,
,Gorebyss,,
Relicanth,,,
Luvdisc,,,
Bagon,Shelgon,Salamence,Mega Salamence
Beldum,Metang,Metagross,Mega Metagross
Regirock,,,
Regice,,,
Registeel,,,
Latias,Mega Latias,,
Latios,Mega Latios,,
Kyogre,Primal Kyogre,,
Groudon,Primal Groudon,,
Rayquaza,Mega Rayquaza,,
Jirachi,,,
Deoxys Attack,,,
Deoxys Defense,,,
Deoxys Speed,,,
Deoxys Neutral,,,
Turtwig,Grotle,Torterra,
Chimchar,Monferno,Infernape,
Piplup,Prinplup,Empoleon,
Starly,Staravia,Staraptor,
Bidoof,Bibarel,,
Kricketot,Kricketune,,
Shinx,Luxio,Luxray,
Cranidos,Rampardos,,
Shieldon,Bastiodon,,
Burmy Plant,Wormadam Plant,,
Burmy Sand,Wormadam Sand,,
Burmy Trash,Wormadam Trash,,
,Mothim,,
Combee,Vespiquen,,
Pachirisu,,,
Buizel,Floatzel,,
Cherubi,Cherrim Overcast,,
,Cherrim Sunny,,
Shellos Blue,Gastrodon Blue,,
Shellos Pink,Gastrodon Pink,,
Drifloon,Drifblim,,
Buneary,Lopunny,Mega Lopunny,
Glameow,Purugly,,
Stunky,Skuntank,,
Bronzor,Bronzong,,
Chatot,,,
Spiritomb,,,
Gible,Gabite,Garchomp,Mega Garchomp
Riolu,Lucario,Mega Lucario,
Hippopotas,Hippowdon,,
Skorupi,Drapion,,
Croagunk,Toxicroak,,
Carnivine,,,
Finneon,Lumineon,,
Snover,Abomasnow,Mega Abomasnow,
Rotom,,,
Uxie,,,
Mesprit,,,
Azelf,,,
Dialga,,,
Palkia,,,
Heatran,,,
Giratina Origin,,,
Giratina Altered,,,
Cresselia,,,
Snivy,Servine,Serperior,
Tepig,Pignite,Emboar,
Oshawott,Dewott,Samurott,
,,Hisuian Samurott,
Patrat,Watchog,,
Lillipup,Herdier,Stoutland,
Purrloin,Liepard,,
Pansage,Simisage,,
Pansear,Simisear,,
Panpour,Simipour,,
Munna,Musharna,,
Pidove,Tranquill,Unfezant,
Blitzle,Zebstrika,,
Roggenrola,Boldore,Gigalith,
Woobat,Swoobat,,
Drilbur,Excadrill,,
Audino,Mega Audino,,
Timburr,Gurdurr,Conkeldurr,
Tympole,Palpitoad,Seismitoad,
Throh,,,
Sawk,,,
Sewaddle,Swadloon,Leavanny,
Venipede,Whirlipede,Scolipede,
Cottonee,Whimsicott,,
Petilil,Lilligant,,
,Hisuian Lilligant,,
Basculin Blue,,,
Basculin Red,,,
Basculin White,Basculegion M,,
,Basculegion F,,
Sandile,Krokorok,Krookodile,
Darumaka,Darmanitan,,
,Darmanitan Zen,,
Galarian Darumaka,Galarian Darmanitan,,
,Galarian Darmanitan Zen,,
Maractus,,,
Dwebble,Crustle,,
Scraggy,Scrafty,,
Sigilyph,,,
Yamask,Cofagrigus,,
Galarian Yamask,Runerigus,,
Tirtouga,Carracosta,,
Archen,Archeops,,
Trubbish,Garbodor,,
Zorua,Zoroark,,
Hisuian Zorua,Hisuian Zoroark,,
Minccino,Cinccino,,
Gothita,Gothorita,Gothitelle,
Solosis,Duosion,Reuniclus,
Ducklett,Swanna,,
Vanillite,Vanillish,Vanilluxe,
Deerling,Sawsbuck,,
Emolga,,,
Karrablast,Escavalier,,
Foongus,Amoonguss,,
Frillish,Jellicent,,
Alomomola,,,
Joltik,Galvantula,,
Ferroseed,Ferrothorn,,
Klink,Klang,Klinklang,
Elgyem,Beheeyem,,
Tynamo,Eelektrik,Eelektross,
Litwick,Lampent,Chandelure,
Axew,Fraxure,Haxorus,
Cubchoo,Beartic,,
Cryogonal,,,
Shelmet,Accelgor,,
Stunfisk,,,
Galarian Stunfisk,,,
Mienfoo,Mienshao,,
Druddigon,,,
Golett,Golurk,,
Pawniard,Bisharp,Kingambit,
Bouffalant,,,
Rufflet,Braviary,,
,Hisuian Braviary,,
Vullaby,Mandibuzz,,
Heatmor,,,
Durant,,,
Deino,Zweilous,Hydreigon,
Larvesta,Volcarona,,
Cobalion,,,
Terrakion,,,
Virizion,,,
Tornadus Incarnate,,,
Tornadus Therian,,,
Thundurus Incarnate,,,
Thundurus Therian,,,
Reshiram,,,
Zekrom,,,
Landorus Incarnate,,,
Landorus Therian,,,
Genesect,,,
Kyurem,,,
Kyurem White,,,
Kyurem Black,,,
Keldeo,,,
Keldeo Resolute,,,
Meloetta Aria,,,
Meloetta Pirouette,,,
Darkrai,,,
Chespin,Quilladin,Chesnaught,
Fennekin,Braixen,Delphox,
Froakie,Frogadier,Greninja,
Bunnelby,Diggersby,,
Fletchling,Fletchinder,Talonflame,
Scatterbug,Spewpa,Vivillon,
Litleo,Pyroar,,
Flabébé,Floette,Florges,
Skiddo,Gogoat,,
Pancham,Pangoro,,
Furfrou,,,
Espurr,Meowstic,,
Honedge,Doublade,Aegislash,
Spritzee,Aromatisse,,
Swirlix,Slurpuff,,
Inkay,Malamar,,
Binacle,Barbaracle,,
Skrelp,Dragalge,,
Clauncher,Clawitzer,,
Helioptile,Heliolisk,,
Tyrunt,Tyrantrum,,
Amaura,Aurorus,,
Hawlucha,,,
Dedenne,,,
Carbink,,,
Goomy,Sliggoo,Goodra,
,Hisuian Sliggoo,Hisuian Goodra,
Klefki,,,
Phantump,Trevenant,,
Pumpkaboo (Small Size),Gourgeist (Small Size),,
Pumpkaboo (Average Size),Gourgeist (Average Size),,
Pumpkaboo (Large Size),Gourgeist (Large Size),,
Pumpkaboo (Super Size),Gourgeist (Super Size),,
Bergmite,Avalugg,,
,Hisuian Avalugg,,
Noibat,Noivern,,
Xerneas,,,
Yveltal,,,
Zygarde,,,
Diancie,Mega Diancie,,
Hoopa (Hoopa Confined),,,
Hoopa (Hoopa Unbound),,,
Volcanion,,,
Rowlet,Dartrix,Decidueye,
,,Hisuian Decidueye,
Litten,Torracat,Incineroar,
Popplio,Brionne,Primarina,
Pikipek,Trumbeak,Toucannon,
Yungoos,Gumshoos,,
Grubbin,Charjabug,Vikavolt,
Crabrawler,Crabominable,,
Oricorio Pom-Pom,,,
Oricorio Pa'u,,,
Oricorio Baile,,,
Oricorio Sensu,,,
Cutiefly,Ribombee,,
Rockruff,Lycanroc,,
,Lycanroc (Dusk),,
,Lycanroc (Midday),,
,Lycanroc (Midnight),,
Wishiwashi,,,
Wishiwashi (School),,,
Mareanie,Toxapex,,
Mudbray,Mudsdale,,
Dewpider,Araquanid,,
Fomantis,Lurantis,,
Morelull,Shiinotic,,
Salandit,Salazzle,,
Stufful,Bewear,,
Bounsweet,Steenee,Tsareena,
Comfey,,,
Oranguru,,,
Passimian,,,
Wimpod,Golisopod,,
Sandygast,Palossand,,
Pyukumuku,,,
Type: Null,Silvally,,
Minior,Minior (Meteor),,
Komala,,,
Turtonator,,,
Togedemaru,,,
Mimikyu,,,
Bruxish,,,
Drampa,,,
Dhelmise,,,
Jangmo-o,Hakamo-o,Kommo-o,
Tapu Koko,,,
Tapu Lele,,,
Tapu Bulu,,,
Tapu Fini,,,
Cosmog,Cosmoem,Solgaleo,
,,Lunala,
Nihilego,,,
Buzzwole,,,
Pheromosa,,,
Xurkitree,,,
Celesteela,,,
Kartana,,,
Guzzlord,,,
Necrozma,,,
Necrozma (Dawn Wings),,,
Necrozma (Dusk Mane),,,
Necrozma (Ultra),,,
Magearna,,,
Marshadow,,,
Poipole,Naganadel,,
Stakataka,,,
Blacephalon,,,
Zeraora,,,
Meltan,Melmetal,,
Grookey,Thwackey,Rillaboom,
Scorbunny,Raboot,Cinderace,
Sobble,Drizzile,Inteleon,
Skwovet,Greedent,,
Rookidee,Corvisquire,Corviknight,
Blipbug,Dottler,Orbeetle,
Nickit,Thievul,,
Gossifleur,Eldegoss,,
Wooloo,Dubwool,,
Chewtle,Drednaw,,
Yamper,Boltund,,
Rolycoly,Carkol,Coalossal,
Applin,Flapple,,
,Appletun,,
Silicobra,Sandaconda,,
Cramorant,,,
Arrokuda,Barraskewda,,
Toxel,Toxtricity,,
Sizzlipede,Centiskorch,,
Clobbopus,Grapploct,,
Sinistea,Polteageist,,
Hatenna,Hattrem,Hatterene,
Impidimp,Morgrem,Grimmsnarl,
Milcery,Alcremie,,
Falinks,,,
Pincurchin,,,
Snom,Frosmoth,,
Stonjourner,,,
Eiscue,,,
Indeedee M,,,
Indeedee F,,,
Morpeko,,,
Cufant,Copperajah,,
Dracozolt,,,
Arctozolt,,,
Dracovish,,,
Arctovish,,,
Duraludon,,,
Dreepy,Drakloak,Dragapult,
Zacian,,,
Zacian Crowned Sword,,,
Zamazenta,,,
Zamazenta Crowned Shield,,,
Eternatus,,,
Kubfu,,,
Urshifu Single-Strike,,,
Urshifu Rapid-Strike,,,
Zarude,,,
Regieleki,,,
Regidrago,,,
Glastrier,,,
Spectrier,,,
Calyrex,,,
Calyrex Ice Rider,,,
Calyrex Shadow Rider,,,
Sprigatito,Floragato,Meowscarada,
Fuecoco,Crocalor,Skeledirge,
Quaxly,Quaxwell,Quaquaval,
Lechonk,Oinkologne M,,
,Oinkologne F,,
Tarountula,Spidops,,
Nymble,Lokix,,
Pawmi,Pawmo,Pawmot,
Tandemaus,Maushold,,
Fidough,Dachsbun,,
Smoliv,Dolliv,Arboliva,
Squawkabilly,,,
Nacli,Naclstack,Garganacl,
Charcadet,Armarouge,,
,Ceruledge,,
Tadbulb,Bellibolt,,
Wattrel,Kilowattrel,,
Maschiff,Mabosstiff,,
Shroodle,Grafaiai,,
Bramblin,Brambleghast,,
Toedscool,Toedscruel,,
Klawf,,,
Capsakid,Scovillain,,
Rellor,Rabsca,,
Flittle,Espathra,,	 
Tinkatink,Tinkatuff,Tinkaton,
Wiglett,Wugtrio,,
Bombirdier,,,
Finizen,Palafin Zero,,
Varoom,Revavroom,,	 
Cyclizar,,,
Orthworm,,,
Glimmet,Glimmora,,
Greavard,Houndstone,,
Flamigo,,,
Cetoddle,Cetitan,,
Veluza,,,
Dondozo,,,
Tatsugiri,,,
Great Tusk,,,
Scream Tail,,,
Brute Bonnet,,,
Flutter Mane,,,
Slither Wing,,,
Sandy Shocks,,,
Iron Treads,,,
Iron Bundle,,,
Iron Hands,,,
Iron Jugulis,,,
Iron Moth,,,
Iron Thorns,,,
Frigibax,Arctibax,Baxcalibur,
Gimmighoul (Chest Form),Gholdengo,,
Gimmighoul (Roaming Form),,,
Wo-Chien,,,
Chien-Pao,,,
Ting-Lu,,,
Chi-Yu,,,
Roaring Moon,,,
Iron Valiant,,,
Koraidon,,,
Miraidon,,,
end,,,
